Glod Price,Day
日期	开盘	最高	最低	收盘	成交量	中间线
2006/1/1	516.9	516.9	516.9	516.9	4	519
2006/1/2	516.9	516.9	516.9	516.9	4	520
2006/1/3	516.9	534.7	516.9	534.6	4	521
2006/1/4	534.5	535	525.5	533.9	4	522
2006/1/5	534	534	522.5	524.3	4	523
2006/1/6	524.3	539.7	522.9	539.1	4	524
2006/1/8	539.1	539.1	539.1	539.1	4	525
2006/1/9	539.1	551	535.1	548.1	4	526
2006/1/10	548.2	548.2	539.2	542.1	4	527
2006/1/11	541.7	549.3	539.1	548.6	4	528
2006/1/12	548.5	549.3	541.8	544.9	4	529
2006/1/13	544.9	557.3	544.4	555.7	4	530
2006/1/15	555.7	555.7	555.7	555.7	4	531
2006/1/16	556.3	561.8	555.6	561.4	4	532
2006/1/17	561.2	563.8	551.7	555.2	4	533
2006/1/18	555.3	556.9	540.2	540.2	4	534
2006/1/19	540.1	559.7	539.8	559.7	4	535
2006/1/20	559.6	567.5	551.9	553.1	4	536
2006/1/22	553.2	553.2	553.2	553.2	4	537
2006/1/23	553.2	560.1	550.9	558.6	4	538
2006/1/24	558.7	559.2	552.8	558.1	4	539
