Glod Price,Day
日期	开盘	最高	最低	收盘	成交量
2006/1/1	516.9	516.9	516.9	516.9	4
2006/1/2	516.9	516.9	516.9	516.9	4
2006/1/3	516.9	534.7	516.9	534.6	4
2006/1/4	534.5	535	525.5	533.9	4
2006/1/5	534	534	522.5	524.3	4
2006/1/6	524.3	539.7	522.9	539.1	4
2006/1/8	539.1	539.1	539.1	539.1	4
2006/1/9	539.1	551	535.1	548.1	4
2006/1/10	548.2	548.2	539.2	542.1	4
2006/1/11	541.7	549.3	539.1	548.6	4
2006/1/12	548.5	549.3	541.8	544.9	4
2006/1/13	544.9	557.3	544.4	555.7	4
2006/1/15	555.7	555.7	555.7	555.7	4
2006/1/16	556.3	561.8	555.6	561.4	4
2006/1/17	561.2	563.8	551.7	555.2	4
2006/1/18	555.3	556.9	540.2	540.2	4
2006/1/19	540.1	559.7	539.8	559.7	4
2006/1/20	559.6	567.5	551.9	553.1	4
2006/1/22	553.2	553.2	553.2	553.2	4
2006/1/23	553.2	560.1	550.9	558.6	4
2006/1/24	558.7	559.2	552.8	558.1	4
2006/1/25	558.1	566	556.5	562.4	4
2006/1/26	562.6	562.7	554.3	558.8	4
2006/1/27	558.7	564	555.6	558.5	4
2006/1/29	558.6	558.6	558.6	558.6	4
2006/1/30	558.6	568.8	557.9	568.4	4
2006/1/31	568.2	572.2	565.7	569.4	4
2006/2/1	569.8	571.3	563.1	568.4	4
2006/2/2	568.3	574.6	568.2	571.2	4
2006/2/3	571.4	573.2	565.4	567.2	4
2006/2/5	567.2	567.2	567.2	567.2	4
2006/2/6	567.2	573.4	567.2	568.7	4
2006/2/7	568.6	570.5	546.3	548.8	4
2006/2/8	548.8	552.5	544.7	550.6	4
2006/2/9	550.7	566.4	550.7	566.4	4
2006/2/10	566.5	568.2	546.7	550.1	4
2006/2/12	550.3	550.3	550.3	550.3	4
2006/2/13	550.1	551.2	538.4	538.8	4
2006/2/14	538.7	547.1	534.6	546.7	4
2006/2/15	546.3	547.3	535.9	539.4	4
2006/2/16	539.2	548.7	535.6	547.6	4
2006/2/17	547.7	553.9	543.8	551.6	4
2006/2/19	551.6	551.6	551.6	551.6	4
2006/2/20	551.6	556.2	551.6	555.6	4
2006/2/21	555.6	555.9	550.8	553.5	4
2006/2/22	553.4	555.2	547.1	554.4	4
2006/2/23	554.4	554.6	547.8	548.7	4
2006/2/24	548.4	559	547.1	558.5	4
2006/2/26	558.4	558.4	558.4	558.4	4
2006/2/27	558.5	558.5	552.2	553.3	4
2006/2/28	553.2	562.2	552.7	562.2	4
2006/3/1	562.3	566.2	559.8	562.7	4
2006/3/2	562.5	569.8	561.4	569.3	4
2006/3/3	569.2	569.9	564.3	565.1	4
2006/3/5	565	565	565	565	4
2006/3/6	565	567.9	551.9	553.9	4
2006/3/7	553.8	557.7	548.2	552.4	4
2006/3/8	552.5	553.4	538.2	542.9	4
2006/3/9	542.8	550.1	539.5	545.5	4
2006/3/10	545.5	546.5	534	540.2	4
2006/3/12	540.1	540.8	540.1	540.8	4
2006/3/13	540.7	546.3	540.5	545.3	4
2006/3/14	545.5	551.9	542.4	551.2	4
2006/3/15	551.1	556.7	550	552.7	4
2006/3/16	552.6	556.2	547.1	554.5	4
2006/3/17	554.5	557.2	551.6	553.7	4
2006/3/19	553.5	553.5	553.5	553.5	4
2006/3/20	553.5	555.9	549.7	553.9	4
2006/3/21	553.8	554.5	546.8	551.9	4
2006/3/22	551.9	553	546.7	550.3	4
2006/3/23	550.3	550.6	544.4	549.5	4
2006/3/24	549.4	560.7	548.5	560	4
2006/3/26	559.2	559.7	559	559.7	4
2006/3/27	559.4	568.1	558.4	566.5	4
2006/3/28	566.5	569	562.3	563.9	4
2006/3/29	563.8	573.6	559.9	573.1	4
2006/3/30	573	588.9	571.2	588.2	4
2006/3/31	588.1	588.1	578.7	582.4	4
2006/4/2	582.8	582.8	582.6	582.8	4
2006/4/3	582.8	591.2	581.8	588	4
2006/4/4	588.1	589.7	584.4	586	4
2006/4/5	585.8	589.3	581.9	588.3	4
2006/4/6	588.4	596.4	587.1	595.4	4
2006/4/7	595.4	597.7	584.9	588.5	4
2006/4/9	588.1	591	588.1	590.7	4
2006/4/10	590.8	600	589.5	598.8	4
2006/4/11	599	603.5	592.8	594.3	4
2006/4/12	594.4	599.5	593.1	598	4
2006/4/13	598	598	590.9	596.3	4
2006/4/14	596.3	598.9	596.1	598.9	4
2006/4/16	597.8	600.1	597.8	600.1	4
2006/4/17	600.1	615	599.6	613.1	4
2006/4/18	613.6	623.5	612.3	623.5	4
2006/4/19	623.6	641.2	621	636.1	4
2006/4/20	636.3	645.4	607.8	611	4
2006/4/21	611.2	635	610.2	634.7	4
2006/4/23	633.4	640.3	633.4	639.4	4
2006/4/24	639.2	639.2	618	620.7	4
2006/4/25	620.9	634.5	620.9	629.1	4
2006/4/26	629.2	640.8	628.1	640.3	4
2006/4/27	640.1	643	625.9	634.5	4
2006/4/28	634.6	655.3	633.8	653.6	4
2006/4/30	652.5	653.6	650.1	651.8	4
2006/5/1	652	660.9	652	655.1	4
2006/5/2	654.9	668.8	652.8	667.2	4
2006/5/3	667.1	676.8	659	665.8	4
2006/5/4	665.8	679.9	660.4	678.5	4
2006/5/5	678.4	684.1	675	683	4
2006/5/7	683.3	685.8	680.6	684.8	4
2006/5/8	684.7	684.7	671.3	680.4	4
2006/5/9	680.5	700.7	677	700.2	4
2006/5/10	700.1	709	693.7	705.8	4
2006/5/11	705.7	725.5	704.3	716.6	4
2006/5/12	716.4	729.7	708	713.8	4
2006/5/14	714.8	714.8	711.8	713.5	4
2006/5/15	713.7	719.5	676.2	677.6	4
2006/5/16	677.5	692.5	674.6	687.3	4
2006/5/17	687.8	715.6	685.2	688	4
2006/5/18	688.3	694	678.5	680.2	4
2006/5/19	679.9	687.9	651.1	659.1	4
2006/5/21	657.3	658.5	654.7	656.8	4
2006/5/22	657.1	660.6	636.7	657.1	4
2006/5/23	657.3	674.4	651.7	666	4
