'XAUUSD'	黄金现货/美元	分时	
时间	成交价	成交量	成交额
2013/5/16 7:00	1395.03	0	0
2013/5/16 7:01	1394.95	0	0
2013/5/16 7:02	1394.92	0	1.34862E+12
2013/5/16 7:03	1394.75	0	0
2013/5/16 7:04	1394.79	0	0
2013/5/16 7:05	1394.6	0	0
2013/5/16 7:06	1394.89	0	0
2013/5/16 7:07	1394.98	0	0
2013/5/16 7:08	1395.09	0	0
2013/5/16 7:09	1395.01	0	1736903
2013/5/16 7:10	1395.04	0	0
2013/5/16 7:11	1394.93	0	0
2013/5/16 7:12	1394.85	0	0
2013/5/16 7:13	1394.83	0	0
2013/5/16 7:14	1394.86	0	0
2013/5/16 7:15	1394.86	0	0
2013/5/16 7:16	1394.9	0	0
2013/5/16 7:17	1394.13	0	0
2013/5/16 7:18	1393.39	0	0
2013/5/16 7:19	1392.87	0	0
2013/5/16 7:20	1392.68	0	0
2013/5/16 7:21	1392.71	0	4719257094
2013/5/16 7:22	1392.75	0	0
2013/5/16 7:23	1392.82	0	0
2013/5/16 7:24	1392.96	0	0
2013/5/16 7:25	1393.08	0	0
2013/5/16 7:26	1392.98	0	0
2013/5/16 7:27	1392.73	0	0
2013/5/16 7:28	1392.6	0	24159240192
2013/5/16 7:29	1392.14	0	0
2013/5/16 7:30	1392.56	0	0
2013/5/16 7:31	1392.85	0	0
2013/5/16 7:32	1392.87	0	0
2013/5/16 7:33	1392.93	0	0
2013/5/16 7:34	1392.73	0	245124
2013/5/16 7:35	1392.7	0	0
2013/5/16 7:36	1392.85	0	0
2013/5/16 7:37	1392.93	0	0
2013/5/16 7:38	1392.86	0	0
2013/5/16 7:39	1393.11	0	0
