'XAUUSD'	黄金现货/美元	分时	
时间	成交价	成交量	成交额
			
2013/5/16 6:00	1393.6	0	0
			
2013/5/16 6:01	1394.98	0	0
			
2013/5/16 6:02	1394.91	0	0
			
2013/5/16 6:03	1395.22	0	0
			
2013/5/16 6:04	1394.82	0	0
			
2013/5/16 6:05	1395.43	0	0
			
2013/5/16 6:06	1395.15	0	513660
			
2013/5/16 6:07	1395.12	0	0
			
2013/5/16 6:08	1395.48	0	0
			
2013/5/16 6:09	1395.16	0	0
			
2013/5/16 6:10	1395.11	0	0
			
2013/5/16 6:11	1395.21	0	0
			
2013/5/16 6:12	1395.21	0	0
			
2013/5/16 6:13	1395.24	0	0
			
2013/5/16 6:14	1395.36	0	0
			
2013/5/16 6:15	1395.33	0	0
			
2013/5/16 6:16	1395.34	0	0
			
2013/5/16 6:17	1395.39	0	0
			
2013/5/16 6:18	1395.51	0	4719458816
			
2013/5/16 6:19	1395.44	0	0
			
2013/5/16 6:20	1394.99	0	0
			
2013/5/16 6:21	1394.97	0	0
			
2013/5/16 6:22	1395.01	0	0
			
2013/5/16 6:23	1394.99	0	0
			
2013/5/16 6:24	1394.95	0	0
			
2013/5/16 6:25	1394.95	0	0
			
2013/5/16 6:26	1394.99	0	0
			
2013/5/16 6:27	1395	0	0
			
2013/5/16 6:28	1394.92	0	0
			
2013/5/16 6:29	1394.89	0	0
			
2013/5/16 6:30	1395.04	0	0
			
2013/5/16 6:31	1395.1	0	55815
			
2013/5/16 6:32	1395.15	0	0
			
2013/5/16 6:33	1395.16	0	0
			
2013/5/16 6:34	1395.24	0	0
			
2013/5/16 6:35	1395.48	0	0
			
2013/5/16 6:36	1395.31	0	0
			
2013/5/16 6:37	1395.31	0	0
			
2013/5/16 6:38	1395.1	0	1892
			
2013/5/16 6:39	1394.69	0	0
			
2013/5/16 6:40	1394.44	0	0
			
2013/5/16 6:41	1394	0	0
			
2013/5/16 6:42	1393.96	0	0
			
2013/5/16 6:43	1394.05	0	458752
			
2013/5/16 6:44	1394.23	0	0
			
2013/5/16 6:45	1394.29	0	0
			
2013/5/16 6:46	1394.24	0	0
			
2013/5/16 6:47	1394.24	0	0
			
2013/5/16 6:48	1394.55	0	0
			
2013/5/16 6:49	1394.65	0	0
			
2013/5/16 6:50	1394.62	0	1.23598E+11
			
2013/5/16 6:51	1394.63	0	0
			
2013/5/16 6:52	1394.85	0	0
			
2013/5/16 6:53	1395.34	0	0
			
2013/5/16 6:54	1395.03	0	0
			
2013/5/16 6:55	1395.12	0	0
			
2013/5/16 6:56	1395.14	0	366937
			
2013/5/16 6:57	1395.07	0	0
			
2013/5/16 6:58	1395.09	0	0
			
2013/5/16 6:59	1394.92	0	0
			
2013/5/16 7:00	1395.03	0	0
			
2013/5/16 7:01	1394.95	0	0
			
2013/5/16 7:02	1394.92	0	1.34862E+12
			
2013/5/16 7:03	1394.75	0	0
			
2013/5/16 7:04	1394.79	0	0
			
2013/5/16 7:05	1394.6	0	0
			
2013/5/16 7:06	1394.89	0	0
			
2013/5/16 7:07	1394.98	0	0
			
2013/5/16 7:08	1395.09	0	0
			
2013/5/16 7:09	1395.01	0	1736903
			
2013/5/16 7:10	1395.04	0	0
			
2013/5/16 7:11	1394.93	0	0
			
